word,positive_index
항공사,0.46413849958779885
코로나,0.41644562334217505
항공기,0.38642533936651585
아시아나항공,0.533256880733945
서비스,0.5494880546075085
아시아,0.511070110701107
여객기,0.33714285714285713
공정위,0.48412698412698413
네이버,0.4899328859060403
글로벌,0.38145896656534956
지난해,0.3896457765667575
무인기,0.7559055118110236
관계자,0.3795180722891566
위원회,0.5253940455341506
시스템,0.4128878281622912
연구원,0.5286458333333334
마일리지,0.3931297709923664
송현동,0.42592592592592593
항공업,0.45617977528089887
서울시,0.55
국제선,0.4143222506393862
친환경,0.27155172413793105
데일리,0.43804034582132567
자회사,0.4092664092664093
화물기,0.3968253968253968
가운데,0.42070484581497797
마무리,0.41042345276872966
스카이,0.60546875
헤럴드,0.43846153846153846
회사채,0.35294117647058826
경쟁력,0.5956112852664577
우기홍,0.4065934065934066
발사체,0.06557377049180328
독과점,0.4620253164556962
클라우드,0.171875
소비자,0.44047619047619047
플랫폼,0.689119170984456
산업은행,0.4979757085020243
수하물,0.3925233644859813
보고서,0.5198019801980198
조원태,0.5359116022099447
바이러스,0.43636363636363634
진에어,0.47161572052401746
부사장,0.6432160804020101
매출액,0.4608695652173913
하반기,0.2301255230125523
파이낸셜,0.45454545454545453
보인다,0.48863636363636365
저작권자,0.438953488372093
조종사,0.20512820512820512
기대감,0.5048543689320388
바이오,0.14
시너지,0.39896373056994816
차세대,0.6470588235294118
디지털,0.49645390070921985
조건부,0.6201550387596899
홈페이지,0.45
데이터,0.4594594594594595
베트남,0.6486486486486487
강서구,0.46733668341708545
프로그램,0.5583756345177665
나온다,0.5208333333333334
교통부,0.3055555555555556
트래블,0.20491803278688525
위원장,0.25833333333333336
지난달,0.39690721649484534
기술력,0.65
브랜드,0.28225806451612906
라운지,0.43333333333333335
국제공항,0.4624505928853755
항공권,0.5103092783505154
승무원,0.3252032520325203
대해서,0.41379310344827586
국내선,0.2712765957446808
콘텐츠,0.6571428571428571
에어부산,0.4611872146118721
퍼스트,0.6714285714285714
덧붙였,0.44285714285714284
감염증,0.38626609442060084
멤버십,0.8793103448275862
정찰기,0.0
클래스,0.35714285714285715
장거리,0.5207373271889401
하와이,0.3424657534246575
탑승객,0.30708661417322836
온라인,0.24786324786324787
포인트,0.48412698412698413
이벤트,0.5730337078651685
국내외,0.5235294117647059
항공편,0.23295454545454544
계획안,0.18518518518518517
알려졌,0.48823529411764705
대한민국,0.4607329842931937
휘트니,0.8955223880597015
포스트,0.5645161290322581
기내식,0.416
솔루션,0.19117647058823528
무착륙,0.14285714285714285
스텔스,0.7681159420289855
하이브리드,0.6268656716417911
연합뉴스,0.5885714285714285
투데이,0.4647887323943662
온실가스,0.24175824175824176
임직원,0.6190476190476191
새로운,0.7410071942446043
간담회,0.23423423423423423
나머지,0.4875
모바일,0.35403726708074534
오미크론,0.6923076923076923
이어지,0.2545454545454545
위해서,0.42953020134228187
싱가포르,0.5338345864661654
거래법,0.42857142857142855
시상식,0.5537190082644629
어려운,0.38064516129032255
노하우,0.5547445255474452
성수기,0.4429530201342282
자동차,0.23863636363636365
비즈니스,0.45217391304347826
이어질,0.35766423357664234
고성능,0.547945205479452
프레스티지,0.20689655172413793
어려움,0.16083916083916083
프로젝트,0.29347826086956524
계열사,0.46875
한다는,0.5230769230769231
네트워크,0.16666666666666666
대부분,0.2740740740740741
하늘길,0.5555555555555556
부동산,0.5302013422818792
터미널,0.22580645161290322
상반기,0.5272727272727272
특별기,0.23684210526315788
현대차,0.5217391304347826
테스트,0.6119402985074627
센서스,0.5904761904761905
늘어난,0.36134453781512604
조성욱,0.09090909090909091
플러스,0.6164383561643836
말레이시아,0.5921052631578947
면세점,0.42857142857142855
전문가,0.5607476635514018
에너지,0.07317073170731707
디자인,0.13157894736842105
오른쪽,0.176
격납고,0.34545454545454546
미디어,0.42857142857142855
사업자,0.638095238095238
서프라이즈,0.3058823529411765
비행기,0.5943396226415094
달한다,0.248
크루즈,0.9848484848484849
추진제,0.0
컨소시엄,0.3493975903614458
우리나라,0.5052083333333334
연구소,0.546875
이수근,0.6790123456790124
마스크,0.08080808080808081
모빌리티,0.42696629213483145
오스카상,0.7567567567567568
인천국제공항공사,0.3939393939393939
해외여행,0.5842696629213483
수송량,0.42391304347826086
전시회,0.5
최대한,0.23387096774193547
전해졌,0.4473684210526316
종로구,0.5189873417721519
협력체,1.0
이동우,0.559322033898305
트랙스,0.7195121951219512
줄어들,0.46153846153846156
리프트,1.0
중소기업,0.14705882352941177
파인애플,0.46956521739130436
실시간,0.52
나선다,0.31521739130434784
차입금,0.5492957746478874
인정받,0.6551724137931034
업그레이드,0.4423076923076923
제작사,0.5581395348837209
지원금,0.0
태평양,0.5824175824175825
대상자,0.4722222222222222
스마트폰,0.43956043956043955
레이더,0.6862745098039216
코리아,0.43548387096774194
기다리,0.5957446808510638
회전익,0.0
투자자,0.5529411764705883
중공업,0.2
전세기,0.25
화이자,0.475
한림원,1.0
스틱스,0.8888888888888888
양지환,0.3333333333333333
증권사,0.36
인프라,0.22988505747126436
반도체,0.14285714285714285
시유지,0.3541666666666667
일반석,0.19480519480519481
토정비결,0.48484848484848486
로스앤젤레스,0.25316455696202533
오퍼레이션,0.6349206349206349
경기도,0.47674418604651164
스페이스,0.37254901960784315
동남아,0.4083333333333333
거래일,0.803030303030303
마포구,0.19047619047619047
입니다,0.3103448275862069
마케팅,0.43137254901960786
지주사,0.48484848484848486
중립항,0.14285714285714285
영종도,0.5789473684210527
내다봤,0.42592592592592593
티웨이항공,0.44776119402985076
중장거리,0.6666666666666666
